
time 00h 56m 03s, episodes 2033, frames 1.554M, mean epr 418.957
time 00h 56m 13s, episodes 2039, frames 1.559M, mean epr 419.875
time 00h 56m 24s, episodes 2046, frames 1.563M, mean epr 417.855
time 00h 56m 34s, episodes 2050, frames 1.568M, mean epr 417.715
time 00h 56m 44s, episodes 2057, frames 1.572M, mean epr 418.521
time 00h 56m 54s, episodes 2064, frames 1.577M, mean epr 419.459
time 00h 57m 04s, episodes 2069, frames 1.581M, mean epr 421.153
time 00h 57m 14s, episodes 2074, frames 1.586M, mean epr 422.325
time 00h 57m 24s, episodes 2079, frames 1.590M, mean epr 422.002
time 00h 57m 35s, episodes 2083, frames 1.595M, mean epr 422.122
time 00h 57m 45s, episodes 2090, frames 1.600M, mean epr 426.190
time 00h 57m 55s, episodes 2096, frames 1.604M, mean epr 423.714
time 00h 58m 05s, episodes 2101, frames 1.609M, mean epr 424.805
time 00h 58m 15s, episodes 2106, frames 1.613M, mean epr 423.334
time 00h 58m 25s, episodes 2112, frames 1.618M, mean epr 425.020
time 00h 58m 35s, episodes 2116, frames 1.622M, mean epr 426.074
time 00h 58m 45s, episodes 2124, frames 1.627M, mean epr 422.681
time 00h 58m 55s, episodes 2129, frames 1.631M, mean epr 419.622
time 00h 59m 05s, episodes 2136, frames 1.636M, mean epr 413.894
time 00h 59m 15s, episodes 2141, frames 1.640M, mean epr 410.667
time 00h 59m 25s, episodes 2148, frames 1.645M, mean epr 409.078
time 00h 59m 36s, episodes 2152, frames 1.649M, mean epr 405.776
time 00h 59m 46s, episodes 2160, frames 1.654M, mean epr 401.804
time 00h 59m 56s, episodes 2165, frames 1.658M, mean epr 400.362
time 01h 00m 06s, episodes 2171, frames 1.663M, mean epr 400.126
time 01h 00m 16s, episodes 2177, frames 1.667M, mean epr 398.230
time 01h 00m 26s, episodes 2183, frames 1.672M, mean epr 397.886
time 01h 00m 36s, episodes 2190, frames 1.677M, mean epr 397.917
time 01h 00m 46s, episodes 2196, frames 1.682M, mean epr 399.894
time 01h 00m 57s, episodes 2204, frames 1.687M, mean epr 393.564
time 01h 01m 07s, episodes 2211, frames 1.692M, mean epr 389.740
time 01h 01m 17s, episodes 2217, frames 1.697M, mean epr 387.440
time 01h 01m 27s, episodes 2224, frames 1.702M, mean epr 388.462
time 01h 01m 37s, episodes 2231, frames 1.707M, mean epr 386.743
time 01h 01m 47s, episodes 2235, frames 1.712M, mean epr 387.059
time 01h 01m 57s, episodes 2243, frames 1.717M, mean epr 390.708
time 01h 02m 07s, episodes 2247, frames 1.722M, mean epr 394.321
time 01h 02m 18s, episodes 2253, frames 1.727M, mean epr 397.080
time 01h 02m 28s, episodes 2259, frames 1.732M, mean epr 396.200
time 01h 02m 38s, episodes 2266, frames 1.737M, mean epr 397.201
time 01h 02m 48s, episodes 2274, frames 1.742M, mean epr 391.176
time 01h 02m 58s, episodes 2279, frames 1.746M, mean epr 390.951
time 01h 03m 08s, episodes 2287, frames 1.751M, mean epr 387.514
time 01h 03m 18s, episodes 2296, frames 1.756M, mean epr 388.100
time 01h 03m 29s, episodes 2299, frames 1.761M, mean epr 388.000
time 01h 03m 39s, episodes 2310, frames 1.766M, mean epr 390.237
time 01h 03m 49s, episodes 2314, frames 1.771M, mean epr 386.478
time 01h 03m 59s, episodes 2320, frames 1.776M, mean epr 392.802
time 01h 04m 09s, episodes 2324, frames 1.781M, mean epr 396.379
time 01h 04m 19s, episodes 2331, frames 1.786M, mean epr 401.165
time 01h 04m 29s, episodes 2336, frames 1.791M, mean epr 399.196
time 01h 04m 39s, episodes 2344, frames 1.796M, mean epr 401.991
time 01h 04m 49s, episodes 2351, frames 1.800M, mean epr 398.791
time 01h 04m 59s, episodes 2359, frames 1.806M, mean epr 387.917
time 01h 05m 09s, episodes 2362, frames 1.811M, mean epr 389.057
time 01h 05m 20s, episodes 2369, frames 1.816M, mean epr 393.397
time 01h 05m 30s, episodes 2376, frames 1.821M, mean epr 390.849
time 01h 05m 40s, episodes 2384, frames 1.826M, mean epr 395.933
time 01h 05m 50s, episodes 2387, frames 1.831M, mean epr 399.797
time 01h 06m 00s, episodes 2395, frames 1.836M, mean epr 407.083
time 01h 06m 10s, episodes 2400, frames 1.841M, mean epr 410.186
time 01h 06m 20s, episodes 2406, frames 1.846M, mean epr 416.543
time 01h 06m 30s, episodes 2412, frames 1.851M, mean epr 417.702
time 01h 06m 41s, episodes 2417, frames 1.856M, mean epr 420.289
time 01h 06m 51s, episodes 2425, frames 1.861M, mean epr 425.403
time 01h 07m 01s, episodes 2429, frames 1.866M, mean epr 426.827
time 01h 07m 11s, episodes 2434, frames 1.871M, mean epr 431.262
time 01h 07m 21s, episodes 2441, frames 1.876M, mean epr 436.342
time 01h 07m 31s, episodes 2444, frames 1.881M, mean epr 437.503
time 01h 07m 41s, episodes 2452, frames 1.886M, mean epr 441.200
time 01h 07m 51s, episodes 2456, frames 1.890M, mean epr 439.982
time 01h 08m 02s, episodes 2462, frames 1.895M, mean epr 442.255
time 01h 08m 12s, episodes 2469, frames 1.900M, mean epr 445.167
