
time 00h 40m 46s, episodes 1143, frames 0.340M, mean epr 2.068
time 00h 40m 56s, episodes 1143, frames 0.341M, mean epr 2.068
time 00h 41m 06s, episodes 1146, frames 0.343M, mean epr 2.095
time 00h 41m 16s, episodes 1148, frames 0.344M, mean epr 2.104
time 00h 41m 26s, episodes 1151, frames 0.345M, mean epr 2.110
time 00h 41m 36s, episodes 1152, frames 0.347M, mean epr 2.109
time 00h 41m 46s, episodes 1154, frames 0.348M, mean epr 2.107
time 00h 41m 57s, episodes 1158, frames 0.350M, mean epr 2.084
time 00h 42m 07s, episodes 1160, frames 0.351M, mean epr 2.062
time 00h 42m 17s, episodes 1160, frames 0.353M, mean epr 2.062
time 00h 42m 27s, episodes 1163, frames 0.354M, mean epr 2.061
time 00h 42m 37s, episodes 1164, frames 0.355M, mean epr 2.060
time 00h 42m 47s, episodes 1167, frames 0.357M, mean epr 2.068
time 00h 42m 57s, episodes 1171, frames 0.358M, mean epr 2.065
time 00h 43m 07s, episodes 1173, frames 0.360M, mean epr 2.073
time 00h 43m 17s, episodes 1173, frames 0.361M, mean epr 2.073
time 00h 43m 28s, episodes 1174, frames 0.363M, mean epr 2.093
time 00h 43m 38s, episodes 1176, frames 0.364M, mean epr 2.111
time 00h 43m 48s, episodes 1178, frames 0.365M, mean epr 2.069
time 00h 43m 58s, episodes 1181, frames 0.367M, mean epr 2.096
time 00h 44m 08s, episodes 1184, frames 0.368M, mean epr 2.113
time 00h 44m 18s, episodes 1186, frames 0.370M, mean epr 2.111
time 00h 44m 28s, episodes 1187, frames 0.371M, mean epr 2.130
time 00h 44m 38s, episodes 1188, frames 0.372M, mean epr 2.138
time 00h 44m 49s, episodes 1190, frames 0.374M, mean epr 2.166
time 00h 44m 59s, episodes 1190, frames 0.375M, mean epr 2.166
time 00h 45m 09s, episodes 1193, frames 0.377M, mean epr 2.160
time 00h 45m 19s, episodes 1194, frames 0.378M, mean epr 2.159
time 00h 45m 30s, episodes 1194, frames 0.380M, mean epr 2.159
time 00h 45m 40s, episodes 1194, frames 0.381M, mean epr 2.159
