
time 00h 38m 22s, episodes 1735, frames 0.436M, mean epr 1.795
time 00h 38m 33s, episodes 1742, frames 0.438M, mean epr 1.809
time 00h 38m 43s, episodes 1750, frames 0.440M, mean epr 1.776
time 00h 38m 54s, episodes 1754, frames 0.442M, mean epr 1.736
time 00h 39m 04s, episodes 1760, frames 0.444M, mean epr 1.752
time 00h 39m 15s, episodes 1771, frames 0.446M, mean epr 1.711
time 00h 39m 25s, episodes 1779, frames 0.448M, mean epr 1.714
time 00h 39m 35s, episodes 1786, frames 0.450M, mean epr 1.675
time 00h 39m 46s, episodes 1791, frames 0.452M, mean epr 1.671
time 00h 39m 57s, episodes 1797, frames 0.455M, mean epr 1.690
time 00h 40m 07s, episodes 1803, frames 0.457M, mean epr 1.728
time 00h 40m 17s, episodes 1804, frames 0.459M, mean epr 1.731
time 00h 40m 28s, episodes 1813, frames 0.461M, mean epr 1.802
time 00h 40m 38s, episodes 1818, frames 0.463M, mean epr 1.733
time 00h 40m 48s, episodes 1824, frames 0.465M, mean epr 1.748
time 00h 40m 58s, episodes 1828, frames 0.467M, mean epr 1.748
time 00h 41m 09s, episodes 1835, frames 0.469M, mean epr 1.756
time 00h 41m 20s, episodes 1841, frames 0.472M, mean epr 1.731
time 00h 41m 31s, episodes 1847, frames 0.474M, mean epr 1.767
time 00h 41m 41s, episodes 1854, frames 0.476M, mean epr 1.793
time 00h 41m 52s, episodes 1858, frames 0.478M, mean epr 1.792
time 00h 42m 02s, episodes 1864, frames 0.480M, mean epr 1.844
time 00h 42m 12s, episodes 1868, frames 0.482M, mean epr 1.830
time 00h 42m 22s, episodes 1873, frames 0.484M, mean epr 1.858
time 00h 42m 33s, episodes 1878, frames 0.486M, mean epr 1.835
time 00h 42m 43s, episodes 1884, frames 0.488M, mean epr 1.815
time 00h 42m 53s, episodes 1890, frames 0.490M, mean epr 1.846
time 00h 43m 04s, episodes 1894, frames 0.492M, mean epr 1.911
time 00h 43m 14s, episodes 1901, frames 0.494M, mean epr 1.849
time 00h 43m 24s, episodes 1906, frames 0.496M, mean epr 1.846
time 00h 43m 35s, episodes 1913, frames 0.498M, mean epr 1.906
time 00h 43m 45s, episodes 1919, frames 0.500M, mean epr 1.902
time 00h 43m 56s, episodes 1924, frames 0.502M, mean epr 1.948
time 00h 44m 06s, episodes 1932, frames 0.505M, mean epr 1.950
time 00h 44m 16s, episodes 1940, frames 0.507M, mean epr 1.916
time 00h 44m 27s, episodes 1948, frames 0.509M, mean epr 1.874
time 00h 44m 37s, episodes 1953, frames 0.511M, mean epr 1.850
time 00h 44m 47s, episodes 1962, frames 0.513M, mean epr 1.788
time 00h 44m 58s, episodes 1969, frames 0.515M, mean epr 1.792
time 00h 45m 08s, episodes 1976, frames 0.517M, mean epr 1.776
time 00h 45m 18s, episodes 1982, frames 0.519M, mean epr 1.711
time 00h 45m 29s, episodes 1990, frames 0.521M, mean epr 1.687
time 00h 45m 39s, episodes 1998, frames 0.523M, mean epr 1.682
time 00h 45m 49s, episodes 2005, frames 0.525M, mean epr 1.645
time 00h 45m 59s, episodes 2014, frames 0.528M, mean epr 1.637
time 00h 46m 10s, episodes 2022, frames 0.530M, mean epr 1.607
time 00h 46m 21s, episodes 2033, frames 0.532M, mean epr 1.581
time 00h 46m 31s, episodes 2043, frames 0.534M, mean epr 1.518
time 00h 46m 42s, episodes 2051, frames 0.536M, mean epr 1.507
time 00h 46m 53s, episodes 2060, frames 0.539M, mean epr 1.512
time 00h 47m 03s, episodes 2068, frames 0.540M, mean epr 1.530
time 00h 47m 13s, episodes 2075, frames 0.543M, mean epr 1.514
time 00h 47m 25s, episodes 2084, frames 0.545M, mean epr 1.489
time 00h 47m 35s, episodes 2095, frames 0.547M, mean epr 1.409
time 00h 47m 45s, episodes 2104, frames 0.549M, mean epr 1.335
time 00h 47m 55s, episodes 2111, frames 0.551M, mean epr 1.293
time 00h 48m 07s, episodes 2121, frames 0.553M, mean epr 1.286
time 00h 48m 17s, episodes 2129, frames 0.555M, mean epr 1.295
time 00h 48m 27s, episodes 2135, frames 0.557M, mean epr 1.325
time 00h 48m 38s, episodes 2144, frames 0.560M, mean epr 1.326
time 00h 48m 48s, episodes 2149, frames 0.561M, mean epr 1.320
time 00h 48m 58s, episodes 2156, frames 0.564M, mean epr 1.416
time 00h 49m 09s, episodes 2165, frames 0.566M, mean epr 1.418
time 00h 49m 19s, episodes 2174, frames 0.568M, mean epr 1.411
time 00h 49m 29s, episodes 2181, frames 0.570M, mean epr 1.374
time 00h 49m 39s, episodes 2187, frames 0.572M, mean epr 1.391
time 00h 49m 50s, episodes 2196, frames 0.574M, mean epr 1.444
time 00h 50m 00s, episodes 2205, frames 0.576M, mean epr 1.456
time 00h 50m 12s, episodes 2214, frames 0.578M, mean epr 1.396
time 00h 50m 22s, episodes 2220, frames 0.581M, mean epr 1.422
time 00h 50m 33s, episodes 2231, frames 0.583M, mean epr 1.444
time 00h 50m 43s, episodes 2236, frames 0.585M, mean epr 1.442
time 00h 50m 53s, episodes 2241, frames 0.587M, mean epr 1.479
time 00h 51m 04s, episodes 2247, frames 0.589M, mean epr 1.597
time 00h 51m 14s, episodes 2254, frames 0.591M, mean epr 1.634
time 00h 51m 25s, episodes 2262, frames 0.593M, mean epr 1.653
time 00h 51m 35s, episodes 2271, frames 0.595M, mean epr 1.616
time 00h 51m 45s, episodes 2280, frames 0.597M, mean epr 1.591
time 00h 51m 55s, episodes 2285, frames 0.599M, mean epr 1.582
time 00h 52m 06s, episodes 2296, frames 0.602M, mean epr 1.586
time 00h 52m 16s, episodes 2303, frames 0.604M, mean epr 1.567
time 00h 52m 27s, episodes 2311, frames 0.606M, mean epr 1.572
time 00h 52m 38s, episodes 2317, frames 0.608M, mean epr 1.586
time 00h 52m 48s, episodes 2328, frames 0.610M, mean epr 1.609
time 00h 52m 58s, episodes 2335, frames 0.612M, mean epr 1.588
time 00h 53m 09s, episodes 2341, frames 0.614M, mean epr 1.632
time 00h 53m 19s, episodes 2347, frames 0.616M, mean epr 1.654
time 00h 53m 29s, episodes 2356, frames 0.619M, mean epr 1.636
time 00h 53m 40s, episodes 2364, frames 0.621M, mean epr 1.685
time 00h 53m 50s, episodes 2369, frames 0.623M, mean epr 1.720
time 00h 54m 00s, episodes 2376, frames 0.625M, mean epr 1.740
time 00h 54m 11s, episodes 2384, frames 0.627M, mean epr 1.819
time 00h 54m 21s, episodes 2391, frames 0.629M, mean epr 1.812
time 00h 54m 32s, episodes 2399, frames 0.632M, mean epr 1.875
time 00h 54m 42s, episodes 2405, frames 0.634M, mean epr 1.873
time 00h 54m 52s, episodes 2413, frames 0.636M, mean epr 1.902
time 00h 55m 03s, episodes 2418, frames 0.638M, mean epr 1.906
time 00h 55m 13s, episodes 2424, frames 0.640M, mean epr 1.912
time 00h 55m 23s, episodes 2431, frames 0.642M, mean epr 1.977
time 00h 55m 34s, episodes 2440, frames 0.644M, mean epr 1.970
time 00h 55m 45s, episodes 2448, frames 0.646M, mean epr 1.906
time 00h 55m 55s, episodes 2455, frames 0.649M, mean epr 1.845
time 00h 56m 05s, episodes 2465, frames 0.650M, mean epr 1.803
time 00h 56m 16s, episodes 2473, frames 0.653M, mean epr 1.732
time 00h 56m 26s, episodes 2481, frames 0.655M, mean epr 1.733
time 00h 56m 36s, episodes 2488, frames 0.657M, mean epr 1.819
time 00h 56m 47s, episodes 2495, frames 0.659M, mean epr 1.801
time 00h 56m 57s, episodes 2506, frames 0.662M, mean epr 1.763
time 00h 57m 08s, episodes 2517, frames 0.664M, mean epr 1.692
time 00h 57m 19s, episodes 2523, frames 0.666M, mean epr 1.700
time 00h 57m 30s, episodes 2532, frames 0.668M, mean epr 1.679
time 00h 57m 40s, episodes 2541, frames 0.670M, mean epr 1.658
time 00h 57m 50s, episodes 2549, frames 0.672M, mean epr 1.656
time 00h 58m 01s, episodes 2559, frames 0.675M, mean epr 1.661
time 00h 58m 11s, episodes 2565, frames 0.677M, mean epr 1.622
time 00h 58m 21s, episodes 2574, frames 0.679M, mean epr 1.656
time 00h 58m 32s, episodes 2580, frames 0.681M, mean epr 1.667
time 00h 58m 42s, episodes 2589, frames 0.683M, mean epr 1.716
time 00h 58m 52s, episodes 2595, frames 0.685M, mean epr 1.655
time 00h 59m 03s, episodes 2606, frames 0.688M, mean epr 1.699
time 00h 59m 14s, episodes 2612, frames 0.690M, mean epr 1.697
time 00h 59m 24s, episodes 2619, frames 0.692M, mean epr 1.698
time 00h 59m 34s, episodes 2627, frames 0.694M, mean epr 1.663
time 00h 59m 45s, episodes 2635, frames 0.696M, mean epr 1.661
time 00h 59m 55s, episodes 2642, frames 0.698M, mean epr 1.664
time 01h 00m 05s, episodes 2648, frames 0.700M, mean epr 1.694
time 01h 00m 15s, episodes 2654, frames 0.702M, mean epr 1.683
time 01h 00m 26s, episodes 2660, frames 0.704M, mean epr 1.711
time 01h 00m 36s, episodes 2667, frames 0.706M, mean epr 1.702
time 01h 00m 47s, episodes 2672, frames 0.709M, mean epr 1.725
time 01h 00m 57s, episodes 2679, frames 0.711M, mean epr 1.724
time 01h 01m 07s, episodes 2686, frames 0.713M, mean epr 1.752
time 01h 01m 17s, episodes 2692, frames 0.715M, mean epr 1.747
time 01h 01m 28s, episodes 2696, frames 0.717M, mean epr 1.728
time 01h 01m 39s, episodes 2703, frames 0.719M, mean epr 1.768
time 01h 01m 49s, episodes 2711, frames 0.721M, mean epr 1.776
time 01h 02m 00s, episodes 2718, frames 0.723M, mean epr 1.764
time 01h 02m 10s, episodes 2726, frames 0.725M, mean epr 1.764
time 01h 02m 20s, episodes 2734, frames 0.728M, mean epr 1.725
time 01h 02m 30s, episodes 2741, frames 0.730M, mean epr 1.792
time 01h 02m 41s, episodes 2747, frames 0.732M, mean epr 1.784
time 01h 02m 51s, episodes 2754, frames 0.734M, mean epr 1.828
time 01h 03m 01s, episodes 2763, frames 0.736M, mean epr 1.804
time 01h 03m 11s, episodes 2770, frames 0.738M, mean epr 1.808
time 01h 03m 22s, episodes 2777, frames 0.740M, mean epr 1.821
time 01h 03m 32s, episodes 2783, frames 0.742M, mean epr 1.851
time 01h 03m 42s, episodes 2791, frames 0.744M, mean epr 1.873
time 01h 03m 53s, episodes 2800, frames 0.747M, mean epr 1.875
time 01h 04m 04s, episodes 2808, frames 0.749M, mean epr 1.857
time 01h 04m 14s, episodes 2817, frames 0.751M, mean epr 1.879
time 01h 04m 24s, episodes 2822, frames 0.753M, mean epr 1.894
time 01h 04m 34s, episodes 2830, frames 0.755M, mean epr 1.913
time 01h 04m 44s, episodes 2835, frames 0.757M, mean epr 1.937
time 01h 04m 55s, episodes 2845, frames 0.760M, mean epr 1.971
time 01h 05m 06s, episodes 2854, frames 0.762M, mean epr 1.973
time 01h 05m 16s, episodes 2862, frames 0.764M, mean epr 1.937
time 01h 05m 26s, episodes 2869, frames 0.766M, mean epr 1.941
time 01h 05m 37s, episodes 2878, frames 0.768M, mean epr 1.947
time 01h 05m 47s, episodes 2885, frames 0.770M, mean epr 1.941
time 01h 05m 57s, episodes 2891, frames 0.773M, mean epr 1.964
time 01h 06m 07s, episodes 2900, frames 0.775M, mean epr 2.003
time 01h 06m 18s, episodes 2907, frames 0.777M, mean epr 1.993
time 01h 06m 29s, episodes 2915, frames 0.779M, mean epr 1.974
time 01h 06m 39s, episodes 2923, frames 0.781M, mean epr 1.977
time 01h 06m 49s, episodes 2930, frames 0.783M, mean epr 1.970
time 01h 07m 00s, episodes 2938, frames 0.786M, mean epr 2.001
time 01h 07m 10s, episodes 2947, frames 0.788M, mean epr 2.030
time 01h 07m 20s, episodes 2954, frames 0.790M, mean epr 2.028
time 01h 07m 31s, episodes 2961, frames 0.792M, mean epr 2.075
time 01h 07m 41s, episodes 2969, frames 0.794M, mean epr 2.039
time 01h 07m 52s, episodes 2977, frames 0.796M, mean epr 2.066
time 01h 08m 02s, episodes 2984, frames 0.798M, mean epr 2.080
time 01h 08m 12s, episodes 2993, frames 0.801M, mean epr 2.084
time 01h 08m 22s, episodes 3000, frames 0.803M, mean epr 2.069
time 01h 08m 32s, episodes 3007, frames 0.805M, mean epr 2.025
time 01h 08m 43s, episodes 3017, frames 0.807M, mean epr 2.042
time 01h 08m 53s, episodes 3023, frames 0.809M, mean epr 2.020
time 01h 09m 04s, episodes 3030, frames 0.811M, mean epr 1.981
time 01h 09m 14s, episodes 3039, frames 0.814M, mean epr 2.031
time 01h 09m 24s, episodes 3047, frames 0.816M, mean epr 2.011
time 01h 09m 34s, episodes 3053, frames 0.818M, mean epr 2.020
time 01h 09m 45s, episodes 3060, frames 0.820M, mean epr 1.998
time 01h 09m 56s, episodes 3070, frames 0.822M, mean epr 1.978
time 01h 10m 06s, episodes 3074, frames 0.824M, mean epr 2.019
